order_for_organization,new?,family,life_history,certainty_life_history,common_name,sources,notes
Hemiptera,yes,Acanthosomatidae,terrestrial,,Shield bugs,https://bugguide.net/node/view/14006,
Lepidoptera,yes,Adelidae,terrestrial,,Fairy moths,https://bugguide.net/node/view/34115,
Ephemeroptera,yes,Ameletidae,aquatic,,Combmouthed Minnow Mayflies,"https://www.naturebob.com/sites/default/files/Mayflies%20by%20John%20Hudson,%20Katherine%20Hocker,%20Robert%20H.%20Armstrong.pdf",
Psocodea,yes,Amphipsocidae,terrestrial,no,Hairy-winged Barklice,https://en.wikipedia.org/wiki/Psocoptera,"Lay eggs in foliage, and are found on bark. But also sometimes eat algae?"
Hemiptera,yes,Berytidae,terrestrial,,Stilt Bugs,https://www.britannica.com/animal/stilt-bug,Found in home gardens and feeding on crops
Coleoptera,yes,Buprestidae,terrestrial,,Metallic Wood-boring Beetles,https://en.wikipedia.org/wiki/Buprestidae,
Coleoptera,yes,Cerambycidae,terrestrial,,Long-horned beetles,https://en.wikipedia.org/wiki/Longhorn_beetle,
Coleoptera,yes,Cleridae,terrestrial,,Checkered beetles,https://en.wikipedia.org/wiki/Cleridae,
Araneae,yes,Clubionidae,terrestrial,,Sac spiders,http://www.bio.brandeis.edu/fieldbio/Spiders_Savransky_Suhd_Brondstatter/Pages/Fam_Clubionidae.html,
Coleoptera,yes,Coccinellidae,terrestrial,,Lady bug,https://en.wikipedia.org/wiki/Coccinellidae,
Diptera,yes,Conopidae,terrestrial,,Thick-headed flies,https://bugguide.net/node/view/92,
Lepidoptera,yes,Cosmopterigidae,terrestrial,,Cosmet moths,https://bugguide.net/node/view/21341,
Hemiptera,yes,Derbidae,terrestrial,,Derbid Planthoppers,https://en.wikipedia.org/wiki/Derbidae,
Hymenoptera,yes,Diprionidae,terrestrial,,Conifer sawflies,https://en.wikipedia.org/wiki/Diprionidae,
Entomobryomorpha,yes,Entomobryidae,terrestrial,,Slender Springtails,https://www-sciencedirect-com.proxy.library.cornell.edu/topics/agricultural-and-biological-sciences/entomobryidae,
Coleoptera,yes,Eucnemidae,terrestrial,,False Click beetles,https://bugguide.net/node/view/63946,
Trichoptera,yes,Helicopsychidae,aquatic,,Snail-cased caddisflies,https://bugguide.net/node/view/52437,
Trichoptera,yes,Hydroptilidae,aquatic,,Microcaddisflies,https://bugguide.net/node/view/118384,
Trombidiformes,yes,Hydryphantidae,aquatic,,Water mites,https://www.biotaxa.org/saa/article/view/saa.19.2.6,
Collembola,yes,Isotomidae,aquatic,no,,https://zookeys.pensoft.net/article/49363/,This seems to be a fairly new family and there is almost no information on it. There is no common name either
Coleoptera,yes,Latridiidae,terrestrial,,Minute brown Scavenger beetles,https://www.mindat.org/taxon-7834.html,
Hemiptera,yes,Lygaeidae,terrestrial,,Seed bugs,https://bugguide.net/node/view/129,
Mesostigmata,yes,Macronyssidae,terrestrial,no,,https://www-sciencedirect-com.proxy.library.cornell.edu/topics/agricultural-and-biological-sciences/macronyssidae,parasitic mites
Hymenoptera,yes,Megaspilidae,terrestrial,no,,https://bugguide.net/node/view/155554,parasites
Diptera,yes,Micropezidae,both,no,Stilt-legged Flies,https://bugguide.net/node/view/134,"found in moist environments, but eat rotting fruit. Unsure on classification"
Araneae,yes,Mimetidae,terrestrial,,Pirate spiders,https://en.wikipedia.org/wiki/Pirate_spider,
Trichoptera,yes,Odontoceridae,aquatic,,Mortarjoint Casemaker Caddisflies,https://seetolearn.weebly.com/uploads/4/6/7/4/46744079/trichoptera_order_sheet.pdf,
Diptera,yes,Oestridae,terrestrial,,Bot flies,https://en.wikipedia.org/wiki/Botfly,
Hemiptera,yes,Pachygronthidae,terrestrial,no,,https://www.americaninsects.net/ht/pachygronthidae.html,I think they are also seed bugs?
Hymenoptera,yes,Perilampidae,terrestrial,,,https://bugguide.net/node/view/16771,parasites
Hymenoptera,yes,Psenidae,unknown,no,,https://en.wikipedia.org/wiki/Psenini,Parasitic wasps; classification is questioned in literature. I am guessing terrestrial
Trichoptera,yes,Psychomyiidae,aquatic,,Net Tube Caddisflies,https://seetolearn.weebly.com/uploads/4/6/7/4/46744079/trichoptera_order_sheet.pdf,
Coleoptera,yes,Pyrochroidae,terrestrial,,Fire-Colored beetles,https://bugguide.net/node/view/9123,
Blattodea,yes,Rhinotermitidae,terrestrial,,Subterranean termites,https://bugguide.net/node/view/9123,
Hemiptera,yes,Rhyparochromidae,terrestrial,,Dirt-colored seed bugs,"http://www.arizonensis.org/sonoran/fieldguide/arthropoda/rhyparochromidae.html#:~:text=Seed%20bugs%20as%20their%20name,beneath%20rocks%20or%20leaf%20litter.",
Coleoptera,yes,Scraptiidae,terrestrial,,False Flower Beetles,https://bugguide.net/node/view/51373,
Trombidiformes,yes,Scutacaridae,terrestrial,,,https://www.researchgate.net/publication/258227720_Mites_of_the_family_Scutacaridae_of_Eastern_Palaearctic,mites
Hemiptera,yes,Scutelleridae,terrestrial,,Shield-backed Bugs,https://www.merriam-webster.com/dictionary/Scutelleridae,
Coleoptera,yes,Tenebrionidae,terrestrial,,Darkling beetles,https://bugguide.net/node/view/152,
Araneae,yes,Tetragnathidae,terrestrial,,Long-jawed orb weavers,https://bugguide.net/node/view/1958,
Orthoptera,yes,Tetrigidae,both,no,Pygmy grasshoppers,https://bugguide.net/node/view/106,could be just aquatic. Not positive
Araneae,yes,Theridiidae,terrestrial,,Cobweb Spiders,"http://www.biokids.umich.edu/critters/Theridiidae/#:~:text=These%20spiders%20live%20in%20many,group%20are%20common%20house%20spiders.",
Hemiptera,yes,Thyreocoridae,terrestrial,,Ebony bugs,https://bugguide.net/node/view/6985,
Trombidiformes,yes,Torrenticolidae,aquatic,no,Torrent mites,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.3840.1.1/0,Could be both.
Isopoda,yes,Trachelipodidae,terrestrial,,Wood mites,http://www.marinespecies.org/aphia.php?p=taxdetails&id=248325,
Trombidiformes,yes,Tydeidae,terrestrial,no,,https://www.researchgate.net/publication/325107107_Tydeinae_mites_Acariformes_Prostigmata_Tydeidae_from_bird_nests_with_description_of_three_new_species,
Diptera,,Agromyzidae,terrestrial,,Leaf miner flies,https://bugguide.net/node/view/28354,
Hymenoptera,,Andrenidae,terrestrial,,"Miner, Bare-miner, Fairy, and Oxaeine Be",https://bugguide.net/node/view/4968,
Diptera,,Anisopodidae,unknown,no,Wood gnats,https://bugguide.net/node/view/12265,"Larvae found in or near decaying wood or vegetation, fermenting sap, animal manure, tree trunks, mud, and sometimes sewage"
Diptera,,Anthomyiidae,terrestrial,,Root-maggot flies,https://bugguide.net/node/view/8083,
Araneae,,Anyphaenidae,terrestrial,,Ghost spiders,https://bugguide.net/node/view/38439,
Hemiptera,,Aphididae,terrestrial,,Aphids,https://bugguide.net/node/view/147,
Hemiptera,,Aphrophoridae,terrestrial,no,Spittlebugs,https://bugguide.net/node/view/145,
Araneae,,Araneidae,terrestrial,,Orb weavers,https://bugguide.net/node/view/1972,
Trombidiformes,,Arrenuridae,unknown,no,,https://en.wikipedia.org/wiki/Arrenuridae,I think this is some type of water mite?
Diptera,,Asilidae,terrestrial,,Robber flies,https://bugguide.net/node/view/151,Larvae usually in soil or decaying wood
Ephemeroptera,,Baetidae,aquatic,,Small mayflies or small minnow mayflies,https://en.wikipedia.org/wiki/Baetidae,
Diptera,,Bibionidae,terrestrial,,March flies,https://bugguide.net/node/view/3834,
Lepidoptera,,Blastobasidae,terrestrial,,Scavenger moths,https://bugguide.net/node/view/903637; https://en.wikipedia.org/wiki/Blastobasidae,
Mesostigmata,,Blattisociidae,terrestrial,no,Mites,https://en.wikipedia.org/wiki/Blattisociidae,I'm assuming mites are terrestrial but I'm not sure.
Diptera,,Bombyliidae,terrestrial,no,Bee flies,https://bugguide.net/node/view/185,
Coleoptera,,Bostrichidae,terrestrial,no,Horned powder-post beetles,https://bugguide.net/node/view/18100; https://idtools.org/id/wbb/families/Wood_Boring_Beetle_Keys/Woodboring_Families/Media/Html/Fact_sheets/Bostrichidae.html,
Collembola,,Bourletiellidae,unknown,,Springtails,https://bugguide.net/node/view/85554/,Really have no idea.
Hymenoptera,,Braconidae,terrestrial,,Braconid wasps,https://bugguide.net/node/view/170,Parasitic
Psocoptera/Psocodea,,Caeciliusidae,terrestrial,no,Lizard barklice,https://en.wikipedia.org/wiki/Psocoptera; https://bugguide.net/node/view/83286,I think this is terrestrial? Lay their eggs in crevices or on foliage
Ephemeroptera,,Caenidae,aquatic,,Small squaregilled mayflies,https://www.waterbugkey.vcsu.edu/php/familydetail.php?idnum=8&show=1405&fa=Caenidae&o=Ephemeroptera&ls=larvae; https://bugguide.net/node/view/45092,
Diptera,,Calliphoridae,terrestrial,,Blow flies,https://en.wikipedia.org/wiki/Calliphoridae,Larvae are scavengers of carrion and dung
Odonata,,Calopterygidae,aquatic,,Broad-winged damselflies,https://bugguide.net/node/view/362,
Coleoptera,,Cantharidae,terrestrial,,Soldier beetles,https://bugguide.net/node/view/118,
Coleoptera,,Carabidae,terrestrial,no,Ground beetles,https://bugguide.net/node/view/186,All supposedly terrestrial?
Diptera,,Cecidomyiidae,terrestrial,no,Gall midges or gall gnats,https://bugguide.net/node/view/8383,I think this bug only feeds on galls/plants
Siphonaptera,,Ceratophyllidae,terrestrial,no,Fleas,https://en.wikipedia.org/wiki/Ceratophyllidae,I am assuming that immature fleas are terrestrial but not sure?
Diptera,,Ceratopogonidae,both,,Biting midges,https://en.wikipedia.org/wiki/Ceratopogonidae,"""They are not strictly aquatic or terrestrial."""
Diptera,,Chaoboridae,aquatic,,Phantom midges or glassworms,https://en.wikipedia.org/wiki/Chaoboridae,
Diptera,,Chironomidae,aquatic,,Non-biting midges,https://en.wikipedia.org/wiki/Chironomidae,
Plecoptera,,Chloroperlidae,aquatic,,Green stoneflies,https://bugguide.net/node/view/43112,
Diptera,,Chloropidae,terrestrial,no,Frit flies,https://bugguide.net/node/view/15512,
Coleoptera,,Chrysomelidae,terrestrial,,Leaf beetles,https://bugguide.net/node/view/180,
Hemiptera,,Cicadellidae,terrestrial,,Leafhoppers,https://bugguide.net/node/view/146,
Diptera,,Clusiidae,terrestrial,no,Druid flies,https://bugguide.net/node/view/51816; https://en.wikipedia.org/wiki/Clusiidae,Larvae are found in the bark of trees (from wikipedia?)
Odonata,,Coenagrionidae,aquatic,,Narrow-winged damselflies,http://cfb.unh.edu/StreamKey/html/organisms/OOdonata/SO_Zygoptera/FCoenagrionidae/Coenagrionidae.html,
